School Year,School Code,County,Public/Private,Public School District,CITY,School Name,Enrollment,Reported,Category,Count,Percent
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,DTP,42,95.45%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,DTP,42,97.67%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,HEPB,42,97.67%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,MMR,42,95.45%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,MMR,42,97.67%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,POLIO,42,95.45%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,VARI,42,95.45%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,POLIO,43,95.56%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,DTP,43,97.73%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,DTP,43,95.56%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,HEPB,43,97.73%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,HEPB,43,95.56%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,MMR,43,95.56%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,Up-To-Date,43,95.56%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,POLIO,43,100%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,VARI,43,100%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,MMR,44,100%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,POLIO,44,100%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,VARI,44,100%
2014-2015,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,45,Y,VARI,44,97.78%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,Up-To-Date,45,73.77%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,DTP,45,84.91%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,POLIO,45,84.91%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,Up-To-Date,45,84.91%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,DTP,46,93.88%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,Up-To-Date,46,93.88%
2013-2014,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,46,Y,DTP,46,100%
2013-2014,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,46,Y,HEPB,46,100%
2013-2014,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,46,Y,MMR,46,100%
2013-2014,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,46,Y,POLIO,46,100%
2013-2014,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,46,Y,Up-To-Date,46,100%
2013-2014,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,46,Y,VARI,46,100%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,POLIO,47,77.05%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,HEPB,47,95.92%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,Up-To-Date,47,92.16%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,MMR,48,97.96%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,POLIO,48,97.96%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,DTP,48,94.12%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,POLIO,48,94.12%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,VARI,49,100%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,DTP,50,81.97%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,MMR,50,98.04%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,HEPB,50,87.72%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,Up-To-Date,50,87.72%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,HEPB,51,100%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,VARI,51,100%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,DTP,52,91.23%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,MMR,52,91.23%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,POLIO,52,91.23%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,VARI,52,91.23%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,MMR,53,86.89%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,HEPB,53,100%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,MMR,53,100%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,VARI,53,100%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,MMR,54,81.82%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,Up-To-Date,54,81.82%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,Up-To-Date,54,90%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,Up-To-Date,55,82.09%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,DTP,55,96.49%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,HEPB,55,96.49%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,MMR,55,96.49%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,POLIO,55,96.49%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,Up-To-Date,55,96.49%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,VARI,55,96.49%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,MMR,56,93.33%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,DTP,57,86.36%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,POLIO,57,86.36%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,HEPB,57,95%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,DTP,58,86.57%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,HEPB,58,90.63%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,HEPB,58,86.57%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,POLIO,58,86.57%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,Up-To-Date,58,90.63%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,MMR,58,96.67%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,POLIO,58,96.67%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,Up-To-Date,58,96.67%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,VARI,58,96.67%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,MMR,59,88.06%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,POLIO,59,92.19%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,DTP,59,98.33%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,POLIO,59,98.33%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,VARI,59,98.33%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,DTP,59,98.33%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,HEPB,59,98.33%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,DTP,60,93.75%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,MMR,60,93.75%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,VARI,60,93.75%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,VARI,60,89.55%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,VARI,60,96.77%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,DTP,60,96.77%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,HEPB,60,96.77%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,MMR,60,96.77%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,POLIO,60,96.77%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,Up-To-Date,60,96.77%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,HEPB,61,100%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,VARI,61,100%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,HEPB,61,93.85%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,MMR,61,93.85%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,POLIO,61,93.85%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,Up-To-Date,61,93.85%
2013-2014,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,62,Y,DTP,62,100%
2013-2014,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,62,Y,HEPB,62,100%
2013-2014,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,62,Y,MMR,62,100%
2013-2014,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,62,Y,POLIO,62,100%
2013-2014,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,62,Y,Up-To-Date,62,100%
2013-2014,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,62,Y,VARI,62,100%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,HEPB,62,93.94%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,VARI,62,93.94%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,DTP,62,95.38%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,VARI,62,95.38%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,DTP,63,98.44%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,HEPB,63,98.44%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,MMR,63,98.44%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,POLIO,63,98.44%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,Up-To-Date,63,98.44%
2013-2014,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,CESAR CHAVEZ - GREEN OAKS ACADEMY,64,Y,VARI,63,98.44%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,HEPB,63,98.44%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,Up-To-Date,63,98.44%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,DTP,63,95.45%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,HEPB,63,95.45%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,MMR,63,95.45%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,POLIO,63,95.45%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,Up-To-Date,63,95.45%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,VARI,63,95.45%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,DTP,63,98.44%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,HEPB,63,98.44%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,MMR,63,98.44%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,POLIO,63,98.44%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,Up-To-Date,63,98.44%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,VARI,63,98.44%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,DTP,64,100%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,MMR,64,100%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,POLIO,64,100%
2014-2015,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,64,Y,VARI,64,100%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,DTP,64,96.97%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,HEPB,64,96.97%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,MMR,64,96.97%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,POLIO,64,96.97%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,Up-To-Date,64,96.97%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,VARI,64,96.97%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,HEPB,64,98.46%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,Up-To-Date,64,98.46%
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,DTP,65,98.48%
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,HEPB,65,98.48%
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,POLIO,65,98.48%
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,Up-To-Date,65,98.48%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,DTP,65,100%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,MMR,65,100%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,POLIO,65,100%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,VARI,65,100%
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,MMR,66,100%
2014-2015,6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,Y,VARI,66,100%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,POLIO,69,69.7%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,Up-To-Date,69,69.7%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,DTP,70,95.89%
2013-2014,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,78,Y,HEPB,70,89.74%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,MMR,70,95.89%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,POLIO,70,95.89%
2013-2014,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,78,Y,Up-To-Date,70,89.74%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,Up-To-Date,70,95.89%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,DTP,70,70.71%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,HEPB,70,70.71%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,DTP,71,98.61%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,Up-To-Date,71,98.61%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,HEPB,71,97.26%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,VARI,71,97.26%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,HEPB,72,100%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,MMR,72,100%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,POLIO,72,100%
2013-2014,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,72,Y,VARI,72,100%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,VARI,72,72.73%
2013-2014,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,78,Y,DTP,73,93.59%
